,toxic,non-toxic
483223,I stink.,I smell.
359968,Sunday dinner was a pain in the ass for all the crazy shit going on.,Sunday dinner is crazy awkward 'cause there's mad
224315,fuck yeah!,Hell yeah!
482283,"that would only help them in the case against an angry, solitary fool.",It makes their case against the angry lone nut that much stronger.
34068,Bitch tell you What to do?,does he tell you what to do?
472475,"Calm the fuck down, you'il wake up Wilson.","relax, you'll wake up Wilson."
166204,Fucking funny.,really funny.
432004,"Oh, shit.","oh, my God!"
450752,What the fuck do they want here?,what does this guy want?
333036,people lie with two duds.,People lie for two reasons.
257403,"I am not as good as you now? Joe was like blood to me, dog.","not longer as yours, same as my blood."
244995,Jane's screwed.,Jane is finished.
222839,I think it's stupid for you to do outdated research... ...when you could comestraight to the source.,it's silly to do obsolete research if you can go right to the source.
418369,Never. Now get the fuck off my porch!,now get out of my porch!
482005,He's the worst candidate we have ever had.,that's the most beautiful candidate we've ever had.
127386,"'Cause you broke a bowl, dumbass.","because you broke the bowl, Tuggle."
321442,General Tien Ta's going to die here,general Tien Ta will die soon.
159631,You're disgusting. And I will never give you one part of Utopia.,and I'll never give you a piece of Utopia.
386846,Now it's dark. Hit me.,and it's dark.
394478,damn right!,"Hell, yeah!"
414637,He's an egghead.,it's a head.
128395,"""Damn.""","""hell."""
540403,Want to kick it in?,you want to kick them out?
233864,"I had a feeling it was in the morning and you were waking me up and I thought, ""God damn it!""","It felt like it was the next morning and you were already waking me up, and I was like, ""Oh, my God."""
132632,I feel completely useless.,I'm completely helpless.
256751,"kids hate losers, Hank.","Kids hate lame,hank."
569719,it's so damned...... typical of you to think of something like this at a time when I finally have a chance to achieve something!,It is so... ...typical of you to create a problem like this... ...when I finally have a chance to accomplish something!
577750,"If you stay where you are, you're dead for sure.","if you stay where you are, I'm sure you will."
7610,you want to help us catch the guys who made your son a thief and killed him?,You wanna help us catch the people who forced your son to do a robbery and then killed him.
438929,Shit. This is bad.,this is bad.
75204,"You rode all the way from Persia for earth and water? Do not be coy or stupid, Persian.","you came all the way from Persia for ""land and water""?"
121441,"That deaf, dumb and blind kid playing pinball.",a deaf-mute and blind child plays pinball.
62804,You're no fucking Russian!,you're not Russian!
270164,Real power shit.,real strength.
409523,"""You think I'll get to kill any lycanthropes tonight?""","""do you think I can get some lycanthropes today?"""
262650,"Just the fucking nerve of it, that little bag of hair and eyes daring to growl at me.","only the audacity, such a bag of hair with his eyes, and he's allowed it to growl at me."
136618,"Thought Kev had defective balls, but he got it checked out.","I thought Kev had a faulty ball, but he had them checked."
115514,four and a half months of shit.,Four and a half months of dirt.
24377,are you a pussy?,You chicken?
281075,"This is important, but you're so interested in that wretched...","this is important, but you care about..."
285271,"Oh, pretty butch, Castle.","oh, nice haircut, Castle."
482310,My crap hole!,my sunken hole!
282735,"shut up, Riley!","Hey! Quiet, Riley!"
425033,"Hey, inglés, maybe you learn too damn fast.","hey, Inglés, you might be studying too fast."
447175,"the tongue was evidently a troll, all growls and bellies.","The language was clearly Trollish, snarling and roaring."
570207,he'll try to kill you.,They'll try to take you out.
76223,the knowledge that I will see you again and I will rip your heart out of your chest.,Knowing I'd see you again and pull out your hearts.
245060,"oh, shit!",Aah! Yeah!
42572,"how many days, weeks, and how many years do you think these assholes do?","How many days, how many weeks how many years they have done it here?"
127266,"maybe incompetent, but persistent.","Inept, perhaps, but perseverjug."
27614,I don't give a shit!,I won't allow it. -I don't care!
220719,I don't know where the fucking rubber band is either.,I have no idea where the rubber band is.
159246,Hit him.,go get him.
487304,I'd rather die with you than live alone.,I'd rather die together than live alone.
691,Y'all get the hell out of my house!,you get out of my house!
133728,I think I can hit him again.,I think I can bring it back on line.
276632,She just called me an asshole.,she just called me a carpenter.
410132,"I ain't chatting shit to you, all right?","I'm not jeering you, okay?"
19140,black Nancy.,Black Nancy. - Ohh!
342424,"you son of a bitch, you're stealing bandages?","They wretch, do you steal bandages?"
282866,We'll find out for goddamn sure what he knows and what he don't.,"then we'll be sure what he knows, what he doesn't."
420015,I don't like your face.,I don't love your face.
465802,Angel's got to have somebody out there doing the killing for him.,the angel must have had someone killed for him.
43687,It's pathetic. She never takes her eyes off the screen.,he can't keep his eyes off the display.
200043,"Landlord, you sinner!",burly sinner!
230064,Why were they a bloodsucker and a thief?,why were the blackmailers and the thief?
506076,"""by the Cat's dick.""","""The Cock Pit."""
215785,"I know that he was some kind of friend of the family... ...growing up, all that, so I'm sorrythe old bastard shot himself... ...but we still got MacMurphyand his boys to deal with.","I know he was, in some way, a friend of your family...... growing up with you and all, so I'm sorry he shot himself...... but we're still in the manhunt and his boys."
535174,at this point I'm sending him a demo tape and I hope like a fool to take him in and remember he could go back to it.,"LIPS: At this point, I'll send him a demo tape and hope to hell that he is interested enough and remembers us well enough to get involved again."
411070,well... we figured he might have killed her.,Well... we're thinking perhaps he murdered her.
394186,You got a fucking warrant?,you got a warrant?
251839,"Any way you justify it, you are exactly where you belong... rotting in a Mexican prison.","no matter how you justify it, you're exactly where you belong."
198529,"Hey, Gustav, get your butt over here.","hey, Gustave, get in here."
497742,"Come, now, Mr. President, put the little man down and let's sit our fanny back in that throne of yours.","come on, Mr. President, put him back and take your seat back to your throne."
15268,Death from above!,death from heights!
562986,all your blasphemers need to be replaced.,The wholesystem's gonna have to be replaced.
569394,Get your head out my ass.,stick your head out.
492082,don't fuck with me.,"Don't piss me off, Mortin."
63575,Now just be quiet and shoot it.,because you have a camera. Just be quiet and focus.
272882,Sex with your last boyfriend?,did she sleep with her last boyfriend?
309926,he's crazy.,Is crazy.
103655,The whole damn country was different.,the whole country was different!
250644,"Love isn't just a good fuck, you know?","love isn't just messing around, you know?"
197985,"The desk clerk, a small female devil with cute little horns, looked at the card I had signed and her eyes widened.","the receptionist, a little black-haired one, looked up at the card I had signed, and her eyes widened."
